circuitRef,year,round,name,countryId
bahrain,2023,1,Bahrain,bahrain
jeddah,2023,2,Jeddah,saudi-arabia
melbourne,2023,3,Melbourne,australia
baku,2023,4,Baku,azerbaijan
miami,2023,5,Miami,united-states-of-america
monaco,2023,6,Monaco,monaco
catalunya,2023,7,Catalunya,spain
montreal,2023,8,Gilles Villeneuve,canada
spielberg,2023,9,Red Bull Ring,austria
silverstone,2023,10,Silverstone,united-kingdom
hungaroring,2023,11,Hungaroring,hungary
spa-francorchamps,2023,12,Spa-Francorchamps,belgium
zandvoort,2023,13,Zandvoort,netherlands
monza,2023,14,Monza,italy
marina-bay,2023,15,Marina Bay,singapore
suzuka,2023,16,Suzuka,japan
lusail,2023,17,Lusail,qatar
austin,2023,18,Americas,united-states-of-america
mexico-city,2023,19,Hermanos Rodríguez,mexico
interlagos,2023,20,José Carlos Pace,brazil
las-vegas,2023,21,Las Vegas,united-states-of-america
yas-marina,2023,22,Yas Marina,united-arab-emirates
bahrain,2024,1,Bahrain,bahrain
jeddah,2024,2,Jeddah,saudi-arabia
melbourne,2024,3,Melbourne,australia
suzuka,2024,4,Suzuka,japan
shanghai,2024,5,Shanghai,china
miami,2024,6,Miami,united-states-of-america
imola,2024,7,Enzo e Dino Ferrari,italy
monaco,2024,8,Monaco,monaco
montreal,2024,9,Gilles Villeneuve,canada
catalunya,2024,10,Catalunya,spain
spielberg,2024,11,Red Bull Ring,austria
silverstone,2024,12,Silverstone,united-kingdom
hungaroring,2024,13,Hungaroring,hungary
spa-francorchamps,2024,14,Spa-Francorchamps,belgium
zandvoort,2024,15,Zandvoort,netherlands
monza,2024,16,Monza,italy
baku,2024,17,Baku,azerbaijan
marina-bay,2024,18,Marina Bay,singapore
austin,2024,19,Americas,united-states-of-america
mexico-city,2024,20,Hermanos Rodríguez,mexico
interlagos,2024,21,José Carlos Pace,brazil
las-vegas,2024,22,Las Vegas,united-states-of-america
lusail,2024,23,Lusail,qatar
yas-marina,2024,24,Yas Marina,united-arab-emirates
melbourne,2025,1,Melbourne,australia
shanghai,2025,2,Shanghai,china
suzuka,2025,3,Suzuka,japan
bahrain,2025,4,Bahrain,bahrain
jeddah,2025,5,Jeddah,saudi-arabia
miami,2025,6,Miami,united-states-of-america
imola,2025,7,Enzo e Dino Ferrari,italy
monaco,2025,8,Monaco,monaco
catalunya,2025,9,Catalunya,spain
montreal,2025,10,Gilles Villeneuve,canada
spielberg,2025,11,Red Bull Ring,austria
silverstone,2025,12,Silverstone,united-kingdom
spa-francorchamps,2025,13,Spa-Francorchamps,belgium
hungaroring,2025,14,Hungaroring,hungary
zandvoort,2025,15,Zandvoort,netherlands
monza,2025,16,Monza,italy
baku,2025,17,Baku,azerbaijan
marina-bay,2025,18,Marina Bay,singapore
austin,2025,19,Americas,united-states-of-america
mexico-city,2025,20,Hermanos Rodríguez,mexico
interlagos,2025,21,José Carlos Pace,brazil
las-vegas,2025,22,Las Vegas,united-states-of-america
lusail,2025,23,Lusail,qatar
yas-marina,2025,24,Yas Marina,united-arab-emirates
