circuitRef,name,countryId,length_km,turns,drs_zones,width_m,type
east-london,Prince George,south-africa,3.92,9,,,RACE
nivelles,Nivelles-Baulers,belgium,3.724,7,,,RACE
monsanto,Monsanto,portugal,5.44,9,,,STREET
yas-marina,Yas Marina,united-arab-emirates,5.281,16,,,RACE
austin,Americas,united-states-of-america,5.513,20,,,RACE
zandvoort,Zandvoort,netherlands,4.259,14,,,RACE
sebring,Sebring,united-states-of-america,8.36,17,,,ROAD
dallas,Fair Park,united-states-of-america,3.901,23,,,STREET
interlagos,José Carlos Pace,brazil,4.309,15,,,RACE
miami,Miami,united-states-of-america,5.412,19,,,STREET
istanbul,Istanbul Park,turkey,5.338,14,,,RACE
montjuic,Montjuïc,spain,3.79,12,,,STREET
buddh,Buddh,india,5.125,16,,,RACE
rouen,Rouen-Les-Essarts,france,6.542,12,,,ROAD
phoenix,Phoenix,united-states-of-america,3.721,15,,,STREET
yeongam,Korea,south-korea,5.615,18,,,RACE
watkins-glen,Watkins Glen,united-states-of-america,5.435,11,,,RACE
buenos-aires,Juan y Oscar Gálvez,argentina,4.259,19,,,RACE
jarama,Jarama,spain,3.314,14,,,RACE
hungaroring,Hungaroring,hungary,4.381,14,,,RACE
marina-bay,Marina Bay,singapore,4.94,19,,,STREET
sepang,Sepang,malaysia,5.543,15,,,RACE
zeltweg,Zeltweg,austria,3.186,4,,,ROAD
long-beach,Long Beach,united-states-of-america,3.275,18,,,STREET
mosport,Mosport,canada,3.957,10,,,RACE
fuji,Fuji,japan,4.563,16,,,RACE
reims,Reims-Gueux,france,8.302,7,,,ROAD
dijon,Dijon-Prenois,france,3.801,12,,,RACE
bugatti,Bugatti,france,4.185,14,,,RACE
estoril,Estoril,portugal,4.36,13,,,RACE
baku,Baku,azerbaijan,6.003,20,,,STREET
avus,AVUS,germany,8.3,4,,,ROAD
kyalami,Kyalami,south-africa,4.261,13,,,RACE
ain-diab,Ain-Diab,morocco,7.618,18,,,ROAD
valencia,Valencia,spain,5.419,25,,,STREET
bahrain,Bahrain,bahrain,5.412,15,,,RACE
jeddah,Jeddah,saudi-arabia,6.174,27,,,STREET
indianapolis,Indianapolis,united-states-of-america,4.192,13,,,RACE
caesars-palace,Caesars Palace,united-states-of-america,3.65,14,,,STREET
monaco,Monaco,monaco,3.337,19,,,STREET
pescara,Pescara,italy,25.579,24,,,ROAD
detroit,Detroit,united-states-of-america,4.023,22,,,STREET
pedralbes,Pedralbes,spain,6.316,6,,,STREET
las-vegas,Las Vegas,united-states-of-america,6.201,17,,,STREET
imola,Enzo e Dino Ferrari,italy,4.909,19,,,RACE
lusail,Lusail,qatar,5.419,16,,,RACE
porto,Boavista,portugal,7.406,19,,,STREET
spa-francorchamps,Spa-Francorchamps,belgium,7.004,19,,,RACE
catalunya,Catalunya,spain,4.657,14,,,RACE
melbourne,Melbourne,australia,5.278,14,,,STREET
hockenheimring,Hockenheimring,germany,4.574,17,,,RACE
paul-ricard,Paul Ricard,france,5.842,15,,,RACE
sochi,Sochi,russia,5.848,18,,,ROAD
montreal,Gilles Villeneuve,canada,4.361,13,,,STREET
nurburgring,Nürburgring,germany,5.148,15,,,RACE
jacarepagua,Nelson Piquet,brazil,5.031,11,,,RACE
zolder,Zolder,belgium,4.262,15,,,RACE
monza,Monza,italy,5.793,11,,,RACE
magny-cours,Magny-Cours,france,4.411,17,,,RACE
mont-tremblant,Mont-Tremblant,canada,4.265,15,,,RACE
silverstone,Silverstone,united-kingdom,5.891,18,,,RACE
anderstorp,Anderstorp Raceway,sweden,4.031,8,,,RACE
jerez,Jerez,spain,4.428,15,,,RACE
bremgarten,Bremgarten,switzerland,7.28,13,,,ROAD
shanghai,Shanghai,china,5.451,16,,,RACE
adelaide,Adelaide,australia,3.78,16,,,STREET
suzuka,Suzuka,japan,5.807,18,,,RACE
riverside,Riverside,united-states-of-america,5.271,9,,,RACE
portimao,Portimão,portugal,4.653,15,,,RACE
mugello,Mugello,italy,5.245,15,,,RACE
aintree,Aintree,united-kingdom,4.828,8,,,ROAD
clermont-ferrand,Charade,france,8.055,48,,,ROAD
donington,Donington Park,united-kingdom,4.023,12,,,RACE
spielberg,Red Bull Ring,austria,4.326,10,,,RACE
mexico-city,Hermanos Rodríguez,mexico,4.304,17,,,RACE
brands-hatch,Brands Hatch,united-kingdom,4.207,9,,,RACE
aida,Aida,japan,3.703,13,,,RACE
