feature,coefficient
laptime_rolling_std_3,-0.23523567643008925
delta_laptime,0.11921023412583044
pushing,-0.11915993367743866
cumulative_degradation,0.1066862033676405
Compound_SOFT,0.03806468276248912
wind_cos,-0.036784498879913065
Team_Haas F1 Team,0.018508259978143073
Team_Kick Sauber,0.017753204656695325
is_new_tyre,0.015723244944317913
RacingNumber_14,-0.012714811459974523
Team_Mercedes,-0.012537068407448435
wind_sin,0.012377683963820446
Team_Ferrari,-0.010741568659187578
RacingNumber_27,0.01051072910465426
AirTemp,0.01007482450562108
Team_Aston Martin,-0.009993930156956718
Team_AlphaTauri,-0.009697721510399432
is_leader,-0.009682008519665
RacingNumber_20,0.009448174066492707
RacingNumber_77,0.009185393940783963
in_drs_range,-0.00888640541378626
RacingNumber_2,0.008220789828347399
Team_Williams,0.008181912965484886
RacingNumber_22,0.008028144638950364
Team_Alpine,0.00797276470251994
RacingNumber_43,0.00791518525930862
Team_McLaren,-0.007540073596172491
RacingNumber_63,-0.00723703571758843
in_dirty_air,0.007143177364312329
TyreLife,-0.006683685837556842
RacingNumber_4,-0.005567439241185662
RacingNumber_5,0.0048862736342735495
Team_Red Bull Racing,-0.004259115380526518
RacingNumber_16,-0.004209666029202845
RacingNumber_30,0.0041473621270254925
Team_RB,0.003929610270763141
RacingNumber_40,-0.0038974268232603243
RacingNumber_55,-0.00346991070658229
RacingNumber_11,-0.003416163299688647
TrackTemp,0.0031898005548795776
RacingNumber_38,-0.0031106106615835204
Humidity,0.002847631184199527
RacingNumber_44,-0.002743509051863657
RacingNumber_18,0.0027208813030178253
RacingNumber_21,-0.002634209033076747
RacingNumber_24,-0.002370917513791105
LapTime,-0.002265704727130961
RacingNumber_10,-0.002197721833184247
RacingNumber_7,0.002032014802692462
Compound_MEDIUM,0.0019732882975596164
RacingNumber_81,-0.0019726343549868923
RacingNumber_87,0.0016911371868903872
RacingNumber_3,-0.0016017634659084292
RacingNumber_61,0.0013823958020969052
RacingNumber_6,-0.0012878077667808547
Pressure,-0.0011241603921413117
RacingNumber_31,-0.0009483196293373231
Team_Racing Bulls,-0.000755454787877684
in_clean_air,-0.0006933402788759597
RacingNumber_50,-0.0004222001132769925
TyreAgeAtStart,0.000401434076626611
RacingNumber_23,-0.0003502588881640431
RacingNumber_12,0.00010474168020401467
