feature,coefficient,abs_coefficient,type
is_new_tyre,0.02340176140649664,0.02340176140649664,numeric_z
TyreLife,-0.05008006902039993,0.05008006902039993,numeric_z
TyreAgeAtStart,0.009617680893726277,0.009617680893726277,numeric_z
AirTemp,0.04784210539335429,0.04784210539335429,numeric_z
Humidity,0.03337897141479362,0.03337897141479362,numeric_z
Pressure,-0.06708682029949811,0.06708682029949811,numeric_z
TrackTemp,0.017440783355597983,0.017440783355597983,numeric_z
wind_sin,0.011394940390276158,0.011394940390276158,numeric_z
wind_cos,-0.030120223532602866,0.030120223532602866,numeric_z
is_leader,-0.005306688539711141,0.005306688539711141,numeric_z
in_drs_range,-0.033774219551295656,0.033774219551295656,numeric_z
in_clean_air,-0.027176043614146717,0.027176043614146717,numeric_z
in_dirty_air,-0.02251179000923617,0.02251179000923617,numeric_z
pushing,-0.10390263736072483,0.10390263736072483,numeric_z
laptime_rolling_std_3,-0.22541848404549714,0.22541848404549714,numeric_z
delta_laptime,0.09442553014176275,0.09442553014176275,numeric_z
cumulative_degradation,0.43824041716680123,0.43824041716680123,numeric_z
LapTime,-0.01832722747193146,0.01832722747193146,numeric_z
Compound_MEDIUM,0.019545593186576726,0.019545593186576726,onehot_01
Compound_SOFT,0.12756439625598726,0.12756439625598726,onehot_01
RacingNumber_2,0.2304046895345715,0.2304046895345715,onehot_01
RacingNumber_3,0.09944925289219272,0.09944925289219272,onehot_01
RacingNumber_4,-0.04005955291113371,0.04005955291113371,onehot_01
RacingNumber_5,-0.06520295231058136,0.06520295231058136,onehot_01
RacingNumber_6,0.1617612777818481,0.1617612777818481,onehot_01
RacingNumber_7,0.036606490822929605,0.036606490822929605,onehot_01
RacingNumber_10,-0.060046092179549815,0.060046092179549815,onehot_01
RacingNumber_11,0.015602209025152525,0.015602209025152525,onehot_01
RacingNumber_12,0.25661725544653313,0.25661725544653313,onehot_01
RacingNumber_14,-0.05808074746832141,0.05808074746832141,onehot_01
RacingNumber_16,0.17796646876443167,0.17796646876443167,onehot_01
RacingNumber_18,0.00486307986407189,0.00486307986407189,onehot_01
RacingNumber_20,-0.0315013340369204,0.0315013340369204,onehot_01
RacingNumber_21,0.054092017412286586,0.054092017412286586,onehot_01
RacingNumber_22,0.12796248079321915,0.12796248079321915,onehot_01
RacingNumber_23,0.15666034402607887,0.15666034402607887,onehot_01
RacingNumber_24,-0.09968259016772935,0.09968259016772935,onehot_01
RacingNumber_27,-0.06316651892794584,0.06316651892794584,onehot_01
RacingNumber_30,0.18655783169140722,0.18655783169140722,onehot_01
RacingNumber_31,-0.07470192090533861,0.07470192090533861,onehot_01
RacingNumber_38,-0.1996471658899115,0.1996471658899115,onehot_01
RacingNumber_40,-0.009473226008201857,0.009473226008201857,onehot_01
RacingNumber_43,0.09034549863413963,0.09034549863413963,onehot_01
RacingNumber_44,0.22179383839731287,0.22179383839731287,onehot_01
RacingNumber_50,-0.15080042572150898,0.15080042572150898,onehot_01
RacingNumber_55,0.169592021861255,0.169592021861255,onehot_01
RacingNumber_61,0.07933861769699378,0.07933861769699378,onehot_01
RacingNumber_63,0.2214935432764532,0.2214935432764532,onehot_01
RacingNumber_77,-0.00714046577154601,0.00714046577154601,onehot_01
RacingNumber_81,-0.0162459335173418,0.0162459335173418,onehot_01
RacingNumber_87,-0.08340193871268434,0.08340193871268434,onehot_01
Team_AlphaTauri,-0.21241406214566372,0.21241406214566372,onehot_01
Team_Alpine,-0.0005768693082933395,0.0005768693082933395,onehot_01
Team_Aston Martin,-0.05321766760425071,0.05321766760425071,onehot_01
Team_Ferrari,-0.27201771797979896,0.27201771797979896,onehot_01
Team_Haas F1 Team,0.06034356448041389,0.06034356448041389,onehot_01
Team_Kick Sauber,0.08153789271389936,0.08153789271389936,onehot_01
Team_McLaren,-0.056305486428476256,0.056305486428476256,onehot_01
Team_Mercedes,-0.33139176496154754,0.33139176496154754,onehot_01
Team_RB,-0.14761634995100004,0.14761634995100004,onehot_01
Team_Racing Bulls,-0.2344632901384086,0.2344632901384086,onehot_01
Team_Red Bull Racing,-0.10151050756918303,0.10151050756918303,onehot_01
Team_Williams,-0.20925828376119307,0.20925828376119307,onehot_01
