Race,MAE
2024_14_Spa-Francorchamps,1.1157633644378744
2023_12_Spa-Francorchamps,1.0354392905252903
2024_1_Bahrain,0.806781371945246
2025_13_Spa-Francorchamps,0.5023240397771876
2025_7_Enzo e Dino Ferrari,0.42184687604297477
2025_4_Bahrain,0.353787183694153
2025_11_Red Bull Ring,0.3175320432033609
2025_15_Zandvoort,0.31166443506415414
2024_15_Zandvoort,0.30395924377378175
2023_1_Bahrain,0.29183961269883
2023_9_Red Bull Ring,0.27256597234870034
2024_11_Red Bull Ring,0.26122841578220984
2024_7_Enzo e Dino Ferrari,0.22980243086587399
