Feature,Importance,Std
LapTime,0.17779403602412266,0.006310559325953814
TrackTemp,0.019487130476309157,0.00037857645247307
AirTemp,0.014995880120255595,0.000857525530640822
avg_corner_angle,0.014657973942580999,0.001045025250854923
straight_len_max_m,0.013760952167992052,0.0016471728935229706
wind_sin,0.010799481843050457,0.0005608773611210054
Humidity,0.010463792692139113,0.0008449773779080435
Pressure,0.007938617650298246,0.0008245050336687641
wind_cos,0.007409320407982939,0.0003316646190811719
LapInStint,0.007043010344261097,0.0006315814278245329
LapInStint_squared,0.006743765003680019,0.00017213133584992026
length_km,0.005991807889127171,0.0008048393607379616
Compound_HARD,0.0031698155695862986,0.00023741544806304236
straight_ratio,0.003113299210650888,0.00022917186305966515
heavy_braking_zones,0.0029080732883046525,0.0005470919417267771
avg_corner_distance,0.002195987849887493,0.000410291058186457
Compound_MEDIUM,0.001336632049441705,0.00017578186954909315
Compound_SOFT,0.001239425742907052,0.00020451952888686923
slow_cluster_max,0.0011394637168816446,0.00016831977061132074
heavy_braking_mean_dv_kmh,0.001038401333376765,0.0006550016939044785
drs_total_len_m,0.0009291588550273012,0.00024552903940738293
num_turns,0.0008304256834339274,0.00011563079454329951
fast_share,0.0006608711485453167,0.0003094148800247133
slow_share,0.0003952531949016014,0.00012146281834937146
medium_share,0.00037958766151970915,9.640565654009935e-05
TyreAgeAtStart,0.0002397881418397474,4.4384651245737283e-05
hb_at_end_of_max,0.000121625402757769,4.312815174454352e-05
n_major_straights,5.465462999193482e-05,3.33031689370617e-05
